Files under review: corpus/train/train_0323_cwe22.cpp

<<<BEGIN_UNTRUSTED_CODE>>>
/* ===== FILE: corpus/train/train_0323_cwe22.cpp ===== */
   1| /* sample: primevul_train_3066_fixed */
   2| LoadPage::LoadPage():
   3| 	jsdelay(200),
   4| 	windowStatus(""),
   5| 	zoomFactor(1.0),
   6| 	repeatCustomHeaders(false),
   7| 	blockLocalFileAccess(true),
   8| 	stopSlowScripts(true),
   9| 	debugJavascript(false),
  10| 	loadErrorHandling(abort),
  11| 	mediaLoadErrorHandling(ignore),
  12| 	cacheDir(""),
  13| 	proxyHostNameLookup(false) {};
<<<END_UNTRUSTED_CODE>>>
