Files under review: corpus/train/train_0395_cwe190.c

<<<BEGIN_UNTRUSTED_CODE>>>
/* ===== FILE: corpus/train/train_0395_cwe190.c ===== */
   1| /* sample: primevul_c_train_2594_vuln */
   2| PHP_XML_API zend_string *xml_utf8_encode(const char *s, size_t len, const XML_Char *encoding)
   3| {
   4| 	size_t pos = len;
   5| 	zend_string *str;
   6| 	unsigned int c;
   7| 	unsigned short (*encoder)(unsigned char) = NULL;
   8| 	xml_encoding *enc = xml_get_encoding(encoding);
   9| 
  10| 	if (enc) {
  11| 		encoder = enc->encoding_function;
  12| 	} else {
  13| 		/* If the target encoding was unknown, fail */
  14| 		return NULL;
  15| 	}
  16| 	if (encoder == NULL) {
  17| 		/* If no encoder function was specified, return the data as-is.
  18| 		 */
  19| 		str = zend_string_init(s, len, 0);
  20| 		return str;
  21| 	}
  22| 	/* This is the theoretical max (will never get beyond len * 2 as long
  23| 	 * as we are converting from single-byte characters, though) */
  24| 	str = zend_string_alloc(len * 4, 0);
  25| 	ZSTR_LEN(str) = 0;
  26| 	while (pos > 0) {
  27| 		c = encoder ? encoder((unsigned char)(*s)) : (unsigned short)(*s);
  28| 		if (c < 0x80) {
  29| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (char) c;
  30| 		} else if (c < 0x800) {
  31| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0xc0 | (c >> 6));
  32| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0x80 | (c & 0x3f));
  33| 		} else if (c < 0x10000) {
  34| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0xe0 | (c >> 12));
  35| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0xc0 | ((c >> 6) & 0x3f));
  36| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0x80 | (c & 0x3f));
  37| 		} else if (c < 0x200000) {
  38| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0xf0 | (c >> 18));
  39| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0xe0 | ((c >> 12) & 0x3f));
  40| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0xc0 | ((c >> 6) & 0x3f));
  41| 			ZSTR_VAL(str)[ZSTR_LEN(str)++] = (0x80 | (c & 0x3f));
  42| 		}
  43| 		pos--;
  44| 		s++;
  45| 	}
  46| 	ZSTR_VAL(str)[ZSTR_LEN(str)] = '\0';
  47| 	str = zend_string_truncate(str, ZSTR_LEN(str), 0);
  48| 	return str;
  49| }
<<<END_UNTRUSTED_CODE>>>
